message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=9.203973, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.839230072";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.174303, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.823155350";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.203973, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.819717346";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.144633, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.807021843";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.174303, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.803916056";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.114964, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.791862423";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.144633, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.787800386";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.085294, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.775896465";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.203973, y=-0.011988])";"30";"turtlesim1.sim";"1758539726.774010698";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.114964, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.771857585";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.085294, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.756509058";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.025955, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.743409797";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.144633, y=-0.011988])";"30";"turtlesim1.sim";"1758539726.742483548";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.055625, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.739986947";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=8.996286, y=-0.011988])";"30";"turtlesim3.sim";"1758539726.727306973";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.114964, y=-0.011988])";"30";"turtlesim1.sim";"1758539726.726332033";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=9.025955, y=-0.011988])";"30";"turtlesim2.sim";"1758539726.724242678";"./src/turtle.cpp:update:288"
